,sentence,tokens,index
3414,"Die schwache Inflation bereitet der Europäischen Zentralbank (EZB) seit langem Kopfzerbrechen, weil sie befürchtet, dass die geringe Teuerung negativ auf das Wachstum ausstrahlt.","['schwach', 'inflation', 'bereitet', 'europa', 'zentralbank', 'ezb', 'seit', 'lang', 'kopfzerbrech', 'befurchtet', 'gering', 'teuer', 'negativ', 'wachstum', 'ausstrahlt']",813106
3415,"Die schwache Inflation bereitet der EZB seit langem Kopfzerbrechen, weil sie befürchtet, dass die geringe Teuerung negativ auf das Wachstum ausstrahlt.","['schwach', 'inflation', 'bereitet', 'ezb', 'seit', 'lang', 'kopfzerbrech', 'befurchtet', 'gering', 'teuer', 'negativ', 'wachstum', 'ausstrahlt']",813175
3416,"Die schwache Inflation bereitet der EZB seit langem Kopfzerbrechen, weil sie befürchtet, dass die geringe Teuerung negativ auf das Wachstum ausstrahlt.","['schwach', 'inflation', 'bereitet', 'ezb', 'seit', 'lang', 'kopfzerbrech', 'befurchtet', 'gering', 'teuer', 'negativ', 'wachstum', 'ausstrahlt']",813219
3417,"FRANKFURT (dpa-AFX) - Trotz der nach wir vor sehr niedrigen Inflation senkt die Europäische Zentralbank (EZB) den Leitzins im Euroraum nicht unter das Rekordtief von 0,05 Prozent.","['frankfurt', 'dpaafx', 'trotz', 'niedrig', 'inflation', 'senkt', 'europa', 'zentralbank', 'ezb', 'leitzin', 'euroraum', 'nicht', 'rekordtief', 'prozent']",813706
3418,"Für 2015 prognostiziert sie entsprechend eine euroweite Inflation von 0,8 Prozent und damit eine noch geringere Teuerungsrate als die EZB, die aktuell von 1,1 Prozent ausgeht.","['prognostiziert', 'entsprech', 'euroweit', 'inflation', 'prozent', 'gering', 'teuerungsrat', 'ezb', 'aktuell', 'prozent', 'ausgeht']",813711
3419,"FRANKFURT (dpa-AFX) - Trotz der nach wir vor sehr niedrigen Inflation senkt die Europäische Zentralbank (EZB) den Leitzins im Euroraum nicht unter das Rekordtief von 0,05 Prozent.","['frankfurt', 'dpaafx', 'trotz', 'niedrig', 'inflation', 'senkt', 'europa', 'zentralbank', 'ezb', 'leitzin', 'euroraum', 'nicht', 'rekordtief', 'prozent']",813713
3420,"So habe Draghi bekräftigt, dass die EZB bereit sei, mit weitergehenden unkonventionellen Maßnahmen gegen eine Phase zu niedriger Inflation vorzugehen.","['draghi', 'bekraftigt', 'ezb', 'bereit', 'sei', 'weitergeh', 'unkonventionell', 'massnahm', 'phas', 'niedrig', 'inflation', 'vorzugeh']",813731
3421,"So habe Draghi bekräftigt, dass die EZB bereit sei, mit weitergehenden unkonventionellen Maßnahmen gegen eine Phase zu niedriger Inflation vorzugehen.","['draghi', 'bekraftigt', 'ezb', 'bereit', 'sei', 'weitergeh', 'unkonventionell', 'massnahm', 'phas', 'niedrig', 'inflation', 'vorzugeh']",813766
3422,"So habe Draghi bekräftigt, dass die EZB bereit sei, mit weitergehenden unkonventionellen Maßnahmen gegen eine Phase zu niedriger Inflation vorzugehen.","['draghi', 'bekraftigt', 'ezb', 'bereit', 'sei', 'weitergeh', 'unkonventionell', 'massnahm', 'phas', 'niedrig', 'inflation', 'vorzugeh']",813807
3423,Am Donnerstag hatte die Europäische Zentralbank wegen des mickrigen Wachstums und der niedrigen Inflation in der Eurozone bereits eine weitere Lockerung der Geldpolitik in Aussicht gestellt.,"['donnerstag', 'europa', 'zentralbank', 'weg', 'mickrig', 'wachstum', 'niedrig', 'inflation', 'eurozon', 'bereit', 'weit', 'locker', 'geldpolit', 'aussicht', 'gestellt']",813890
3424,"Schon am Mittwoch hatten Experten des VÖB (Bundesverband Öffentlicher Banken Deutschlands) auf ihrer Zinsprognose-Pressekonferenz mitgeteilt, dass sie aufgrund der niedrigen Inflationsraten und dem verhaltenen Wirtschaftswachstum, denen Arbeitslosenzahlen und Staatsschulden auf hohem Niveau entgegen stehen, weiter eine expansive Geldpolitik der Europäischen Zentralbank erwarten.","['schon', 'mittwoch', 'expert', 'vob', 'bundesverband', 'offent', 'bank', 'deutschland', 'zinsprognosepressekonferenz', 'mitgeteilt', 'aufgrund', 'niedrig', 'inflationsrat', 'verhalt', 'wirtschaftswachstum', 'den', 'arbeitslosenzahl', 'staatsschuld', 'hoh', 'niveau', 'entgeg', 'steh', 'expansiv', 'geldpolit', 'europa', 'zentralbank', 'erwart']",813986
3425,"""Die EZB sollte daher eine weitere massive Ausweitung ihrer Bilanz vermeiden, solange eine Deflation im Euro-Raum nicht prognostiziert wird,"" schrieben sie.","['ezb', 'dah', 'weit', 'massiv', 'ausweit', 'bilanz', 'vermeid', 'solang', 'deflation', 'euroraum', 'nicht', 'prognostiziert', 'schrieb']",814637
3426,Draghi hatte in der vergangenen Woche angesichts der schwachen konjunkturellen Entwicklung sowie der niedrigen Inflation in Europa eine weitere Lockerung der Geldpolitik in Aussicht gestellt.,"['draghi', 'vergang', 'woch', 'angesicht', 'schwach', 'konjunkturell', 'entwickl', 'sowi', 'niedrig', 'inflation', 'europa', 'weit', 'locker', 'geldpolit', 'aussicht', 'gestellt']",814728
3427,Die zuletzt schwache Inflation lässt eine weiter lockere Geldpolitik erwarten und treibt die Spekulation um Anleihekäufe durch die Europäische Zentralbank (EZB).,"['zuletzt', 'schwach', 'inflation', 'lasst', 'lock', 'geldpolit', 'erwart', 'treibt', 'spekulation', 'anleihekauf', 'europa', 'zentralbank', 'ezb']",814825
3428,Die Europäische Zentralbank (EZB) strebt für den gesamten Euroraum eine Inflationsrate von knapp zwei Prozent an.,"['europa', 'zentralbank', 'ezb', 'strebt', 'gesamt', 'euroraum', 'inflationsrat', 'knapp', 'zwei', 'prozent']",814862
3429,Die Europäische Zentralbank (EZB) strebt für den gesamten Euroraum eine Inflationsrate von knapp zwei Prozent an.,"['europa', 'zentralbank', 'ezb', 'strebt', 'gesamt', 'euroraum', 'inflationsrat', 'knapp', 'zwei', 'prozent']",814864
3430,FRANKFURT (dpa-AFX) - In der Eurozone bleibt der Preisdruck trotz immer neuer Maßnahmen der Europäischen Zentralbank (EZB) im Kampf gegen eine zu niedrige Inflation schwach.,"['frankfurt', 'dpaafx', 'eurozon', 'bleibt', 'preisdruck', 'trotz', 'imm', 'neu', 'massnahm', 'europa', 'zentralbank', 'ezb', 'kampf', 'niedrig', 'inflation', 'schwach']",814881
3431,"Die EZB geht davon aus, dass die Inflation in den kommenden Monaten wegen der fallenden Ölpreise auf dem aktuell niedrigen Niveau verharren wird, wie die Notenbank in ihrem am Donnerstag vorgelegten Monatsbericht mitteilte.","['ezb', 'geht', 'davon', 'inflation', 'kommend', 'monat', 'weg', 'fallend', 'olpreis', 'aktuell', 'niedrig', 'niveau', 'verharr', 'notenbank', 'donnerstag', 'vorgelegt', 'monatsbericht', 'mitteilt']",814889
3432,"Allerdings warnen einige Fachleute bereits davor, dass dem Markt der Glaube an die Fähigkeit der EZB, die Inflation zu steuern, verlorengehe.","['allerding', 'warn', 'fachleut', 'bereit', 'davor', 'markt', 'glaub', 'fahig', 'ezb', 'inflation', 'steu', 'verlorengeh']",814889
3433,EZB-Umfrage: Experten senken erneut Inflationsprognosen      FRANKFURT  - In der Eurozone bleibt der Preisdruck trotz immer neuer Maßnahmen der Europäischen Zentralbank (EZB) im Kampf gegen eine zu niedrige Inflation schwach.,"['ezbumfrag', 'expert', 'senk', 'erneut', 'inflationsprognos', 'frankfurt', 'eurozon', 'bleibt', 'preisdruck', 'trotz', 'imm', 'neu', 'massnahm', 'europa', 'zentralbank', 'ezb', 'kampf', 'niedrig', 'inflation', 'schwach']",814925
3434,Eine vielbeachtete Umfrage der EZB zu Wachstum und Inflation blieb ohne nachhaltigen Effekt am Währungsmarkt.,"['vielbeachtet', 'umfrag', 'ezb', 'wachstum', 'inflation', 'blieb', 'ohn', 'nachhalt', 'effekt', 'wahrungsmarkt']",814944
3435,Eine vielbeachtete Umfrage der EZB zu Wachstum und Inflation blieb ohne nachhaltigen Effekt am Währungsmarkt.,"['vielbeachtet', 'umfrag', 'ezb', 'wachstum', 'inflation', 'blieb', 'ohn', 'nachhalt', 'effekt', 'wahrungsmarkt']",815001
3436,"Eine vielbeachtete Umfrage der EZB zu Wachstum und Inflation ergab, dass Finanzexperten sowohl von einer schwächeren Konjunktur als auch von geringerem Preisdruck im Euroraum ausgehen.","['vielbeachtet', 'umfrag', 'ezb', 'wachstum', 'inflation', 'ergab', 'finanzexpert', 'sowohl', 'schwach', 'konjunktur', 'gering', 'preisdruck', 'euroraum', 'ausgeh']",815022
3437,Eine vielbeachtete Umfrage der EZB zu Wachstum und Inflation blieb ohne nachhaltigen Effekt am Währungsmarkt.,"['vielbeachtet', 'umfrag', 'ezb', 'wachstum', 'inflation', 'blieb', 'ohn', 'nachhalt', 'effekt', 'wahrungsmarkt']",815037
3438,Seit geraumer Zeit versucht die EZB daher mit rekordtiefen Zinsen und einer Reihe außerordentlicher Maßnahmen gegen die zu niedrige Inflation anzukämpfen.,"['seit', 'geraum', 'zeit', 'versucht', 'ezb', 'dah', 'rekordtief', 'zins', 'reih', 'ausserordent', 'massnahm', 'niedrig', 'inflation', 'anzukampf']",815146
3439,"Riskant für den Steuerzahler wäre, wenn die EZB ihr Mandat nicht ernst nähme: ""Wenn wir vermeiden, dass die sehr niedrige Inflation zu lange anhält und die Wirtschaft stagniert, mindern wir das Risiko für alle Steuerzahler im Euroraum.""","['riskant', 'steuerzahl', 'war', 'ezb', 'mandat', 'nicht', 'ernst', 'nahm', 'vermeid', 'niedrig', 'inflation', 'lang', 'anhalt', 'wirtschaft', 'stagniert', 'mind', 'risiko', 'steuerzahl', 'euroraum']",815473
3440,BRÜSSEL (dpa-AFX) - EZB-Präsident Mario Draghi hat erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['brussel', 'dpaafx', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815590
3441,Zudem hatte EZB-Präsident Mario Draghi erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt./ck/jha/,"['zud', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigtckjha']",815596
3442,"Draghi bekräftigte noch einmal die Bereitschaft der Notenbank, weitere Maßnahmen gegen das schwache Wachstum und die niedrige Inflation zu ergreifen.","['draghi', 'bekraftigt', 'bereitschaft', 'notenbank', 'weit', 'massnahm', 'schwach', 'wachstum', 'niedrig', 'inflation', 'ergreif']",815598
3443,Zudem hatte EZB-Präsident Mario Draghi erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt./la/jha/,"['zud', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigtlajha']",815601
3444,Draghi bekräftigt Bereitschaft zu weiteren Maßnahmen und mahnt Reformen an      BRÜSSEL  - EZB-Präsident Mario Draghi hat erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['draghi', 'bekraftigt', 'bereitschaft', 'weit', 'massnahm', 'mahnt', 'reform', 'brussel', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815608
3445,So hatte EZB-Präsident Mario Draghi bei einer Anhörung vor Abgeordneten des Europäischen Parlaments erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die dümpelnde Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['ezbprasident', 'mario', 'draghi', 'anhor', 'abgeordnet', 'europa', 'parlament', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'dumpelnd', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815617
3446,Zudem hatte EZB-Präsident Mario Draghi erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['zud', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815621
3447,"Der Präsident der Europäischen Zentralbank (EZB), Mario Draghi, hatte erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.","['prasident', 'europa', 'zentralbank', 'ezb', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815623
3448,Zudem hatte EZB-Präsident Mario Draghi erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['zud', 'ezbprasident', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815625
3449,EZB-Präsident Mario Draghi hatte am Montag erneut die Bereitschaft für weitere Schritte der Notenbank im Kampf gegen die maue Konjunktur und eine zu geringe Inflation in der Eurozone bekräftigt.,"['ezbprasident', 'mario', 'draghi', 'montag', 'erneut', 'bereitschaft', 'weit', 'schritt', 'notenbank', 'kampf', 'mau', 'konjunktur', 'gering', 'inflation', 'eurozon', 'bekraftigt']",815629
3450,"Draghi hatte erneut die Bereitschaft der Notenbank betont, wenn nötig weitere Maßnahmen gegen das schwache Wachstum und die niedrige Inflation zu ergreifen.","['draghi', 'erneut', 'bereitschaft', 'notenbank', 'betont', 'notig', 'weit', 'massnahm', 'schwach', 'wachstum', 'niedrig', 'inflation', 'ergreif']",815640
3451,"EZB-Chef Mario Draghi hatte gestern Nachmittag vor dem Wirtschafts- und Währungsausschuss des Europaparlaments laut darüber nachgedacht, die Geldschleusen wegen der unerwünscht niedrigen Inflation bei Bedarf weiter zu öffnen.","['ezbchef', 'mario', 'draghi', 'gest', 'nachmittag', 'wirtschaft', 'wahrungsausschuss', 'europaparlament', 'laut', 'darub', 'nachgedacht', 'geldschleus', 'weg', 'unerwunscht', 'niedrig', 'inflation', 'bedarf', 'offn']",815852
3452,"Im Dezember werden die Volkswirte der EZB ihre aktualisierten Prognosen zur Teuerung, zum Wachstum und zur Beschäftigung vorlegen.","['dezemb', 'volkswirt', 'ezb', 'aktualisiert', 'prognos', 'teuer', 'wachstum', 'beschaft', 'vorleg']",815852
3453,"Die EZB wird wohl bald handeln müssen, im Kampf gegen Deflation und Börsenabschlägen.","['ezb', 'wohl', 'bald', 'handeln', 'muss', 'kampf', 'deflation', 'borsenabschlag']",816013
3454,"""Wir werden tun, was wir müssen, um Inflation und Inflationserwartungen so schnell wie möglich zu erhöhen, wie es unser Mandat der Preisstabilität von uns verlangt"", sagte Draghi am Freitag auf einem Bankenkongress in Frankfurt.","['tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'erhoh', 'mandat', 'preisstabilitat', 'verlangt', 'sagt', 'draghi', 'freitag', 'bankenkongress', 'frankfurt']",816406
3455,"EURO NACH DRAGHI-AUSSAGEN UNTER DRUCK      Draghi betonte: ""Wir werden tun, was wir müssen, um die Inflation und die Inflationserwartungen so schnell wie möglich anzuheben - wie es unser Mandat der Preisstabilität von uns verlangt.""","['euro', 'draghiaussag', 'druck', 'draghi', 'betont', 'tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'anzuheb', 'mandat', 'preisstabilitat', 'verlangt']",816406
3456,"""Wir werden tun, was wir müssen, um Inflation und Inflationserwartungen so schnell wie möglich zu erhöhen, wie es unser Mandat der Preisstabilität von uns verlangt"", sagte Draghi am Freitag auf einem Bankenkongress in Frankfurt.","['tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'erhoh', 'mandat', 'preisstabilitat', 'verlangt', 'sagt', 'draghi', 'freitag', 'bankenkongress', 'frankfurt']",816415
3457,"""Wir werden tun, was wir müssen, um Inflation und Inflationserwartungen so schnell wie möglich zu erhöhen, wie es unser Mandat der Preisstabilität von uns verlangt"", sagte Draghi am Freitag auf einem Bankenkongress in Frankfurt.","['tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'erhoh', 'mandat', 'preisstabilitat', 'verlangt', 'sagt', 'draghi', 'freitag', 'bankenkongress', 'frankfurt']",816452
3458,Zahlreiche Maßnahmen der Europäischen Zentralbank (EZB) gegen die niedrige Inflation haben bisher wenig Wirkung gezeigt.,"['zahlreich', 'massnahm', 'europa', 'zentralbank', 'ezb', 'niedrig', 'inflation', 'bish', 'wenig', 'wirkung', 'gezeigt']",816515
3459,Trotz einer Reihe von Maßnahmen der EZB im Kampf gegen die Konjunkturflaute und eine zu niedrige Inflation zeigen sich nach wie vor kaum Fortschritte.,"['trotz', 'reih', 'massnahm', 'ezb', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'zeig', 'kaum', 'fortschritt']",816535
3460,"""Wir werden tun, was wir müssen, um Inflation und Inflationserwartungen so schnell wie möglich zu erhöhen, wie es unser Mandat der Preisstabilität von uns verlangt"", sagte Draghi am Freitag auf einem Bankenkongress in Frankfurt.","['tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'erhoh', 'mandat', 'preisstabilitat', 'verlangt', 'sagt', 'draghi', 'freitag', 'bankenkongress', 'frankfurt']",816538
3461,"""Wir werden tun, was wir müssen, um Inflation und Inflationserwartungen so schnell wie möglich zu erhöhen, wie es unser Mandat der Preisstabilität von uns verlangt"", sagte Draghi bei einem Bankenkongress in Frankfurt.","['tun', 'muss', 'inflation', 'inflationserwart', 'schnell', 'moglich', 'erhoh', 'mandat', 'preisstabilitat', 'verlangt', 'sagt', 'draghi', 'bankenkongress', 'frankfurt']",816544
3462,"Wieder einmal waren Notenbanken der Auslöser: EZB-Präsident Mario Draghi hatte auf einem Bankenkongress in Frankfurt die Bereitschaft bekräftigt, den Kampf gegen die niedrige Inflation und das schwache Wachstum auszuweiten.","['notenbank', 'auslos', 'ezbprasident', 'mario', 'draghi', 'bankenkongress', 'frankfurt', 'bereitschaft', 'bekraftigt', 'kampf', 'niedrig', 'inflation', 'schwach', 'wachstum', 'auszuweit']",816724
3463,"Mittlerweile geht es seiner Einschätzung nach nur noch um die Frage, wann es denn mit den Anleihekäufen durch die EZB im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation losgeht./jkr/stb","['mittlerweil', 'geht', 'einschatz', 'frag', 'wann', 'anleihekauf', 'ezb', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'losgehtjkrstb']",817372
3464,Die Europäische Zentralbank (EZB) strebt für den gesamten Euroraum eine Inflationsrate von knapp zwei Prozent an.,"['europa', 'zentralbank', 'ezb', 'strebt', 'gesamt', 'euroraum', 'inflationsrat', 'knapp', 'zwei', 'prozent']",817390
3465,HELSINKI (dpa-AFX) - EZB-Chef Mario Draghi hat erneut die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation bekräftigt und damit jüngste Aussagen vom vergangenen Freitag unterstrichen.,"['helsinki', 'dpaafx', 'ezbchef', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraftigt', 'jung', 'aussag', 'vergang', 'freitag', 'unterstrich']",817419
3466,"Die Bilanzausweitung werde zu einer konjunkturellen Erholung und zu der von der EZB anvisierten Inflationsrate von knapp zwei Prozent beitragen, so Draghi.","['bilanzausweit', 'konjunkturell', 'erhol', 'ezb', 'anvisiert', 'inflationsrat', 'knapp', 'zwei', 'prozent', 'beitrag', 'draghi']",817419
3467,"Hinzu kommt, dass EZB-Chef Mario Draghi in Helsinki erneut die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation bekräftigt hat.","['hinzu', 'kommt', 'ezbchef', 'mario', 'draghi', 'helsinki', 'erneut', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraftigt']",817428
3468,"Die schwache Teuerung geht zum einen auf Entwicklungen zurück, die die EZB nicht unmittelbar beeinflussen kann, etwa die stark fallenden Ölpreise.","['schwach', 'teuer', 'geht', 'entwickl', 'zuruck', 'ezb', 'nicht', 'unmittelbar', 'beeinfluss', 'etwa', 'stark', 'fallend', 'olpreis']",817454
3469,Experten rechnen mit weiteren Maßnahmen der EZB im Kampf gegen die zu niedrige Inflation und erwarten im kommenden Jahr den umstrittenen Kauf von Staatsanleihen.,"['expert', 'rechn', 'weit', 'massnahm', 'ezb', 'kampf', 'niedrig', 'inflation', 'erwart', 'kommend', 'jahr', 'umstritt', 'kauf', 'staatsanleih']",817472
3470,"DRUCK AUF DIE EZB STEIGT      Nach europäischer Methode (HVPI) lag die jährliche Inflationsrate laut Bundesamt im November etwas tiefer bei 0,5 Prozent, nach 0,7 Prozent im Vormonat.","['druck', 'ezb', 'steigt', 'europa', 'method', 'hvpi', 'lag', 'jahrlich', 'inflationsrat', 'laut', 'bundesamt', 'novemb', 'tief', 'prozent', 'prozent', 'vormonat']",817476
3471,Experten rechnen mit weiteren Maßnahmen der EZB im Kampf gegen die zu niedrige Inflation und erwarten im kommenden Jahr den umstrittenen Kauf von Staatsanleihen.,"['expert', 'rechn', 'weit', 'massnahm', 'ezb', 'kampf', 'niedrig', 'inflation', 'erwart', 'kommend', 'jahr', 'umstritt', 'kauf', 'staatsanleih']",817476
3472,"Die für die Europäische Zentralbank (EZB) ausschlaggebende Inflationsrate, der nach europaweiten Standards berechnete Index HVPI, lag in Deutschland bei lediglich 0,5 Prozent.","['europa', 'zentralbank', 'ezb', 'ausschlaggeb', 'inflationsrat', 'europaweit', 'standard', 'berechnet', 'index', 'hvpi', 'lag', 'deutschland', 'ledig', 'prozent']",817485
3473,"EZB-Chef Mario Draghi wird folglich nicht müde, erneut die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation zu bekräftigen.","['ezbchef', 'mario', 'draghi', 'folglich', 'nicht', 'mud', 'erneut', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraft']",817486
3474,Draghi bekräftigt erneut Bereitschaft zu weiteren EZB-Maßnahmen      HELSINKI - EZB-Chef Mario Draghi hat erneut die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation bekräftigt und damit jüngste Aussagen vom vergangenen Freitag unterstrichen.,"['draghi', 'bekraftigt', 'erneut', 'bereitschaft', 'weit', 'ezbmassnahm', 'helsinki', 'ezbchef', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraftigt', 'jung', 'aussag', 'vergang', 'freitag', 'unterstrich']",817510
3475,Die EZB strebt hingegen eine Inflationsrate von knapp zwei Prozent an.,"['ezb', 'strebt', 'hingeg', 'inflationsrat', 'knapp', 'zwei', 'prozent']",817522
3476,Die Europäische Zentralbank (EZB) sieht die Stabilität des Euro bei einer Inflationsrate von knapp zwei Prozent als gewährleistet an.,"['europa', 'zentralbank', 'ezb', 'sieht', 'stabilitat', 'euro', 'inflationsrat', 'knapp', 'zwei', 'prozent', 'gewahrleistet']",817525
3477,Draghi bekräftigt erneut Bereitschaft zu weiteren EZB-Maßnahmen      HELSINKI  - EZB-Chef Mario Draghi hat erneut die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation bekräftigt und damit jüngste Aussagen vom vergangenen Freitag unterstrichen.,"['draghi', 'bekraftigt', 'erneut', 'bereitschaft', 'weit', 'ezbmassnahm', 'helsinki', 'ezbchef', 'mario', 'draghi', 'erneut', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraftigt', 'jung', 'aussag', 'vergang', 'freitag', 'unterstrich']",817528
3478,"Draghi wird folglich nicht müde, die Bereitschaft zu weiteren Maßnahmen im Kampf gegen die Konjunkturflaute und die zu niedrige Inflation zu bekräftigen.","['draghi', 'folglich', 'nicht', 'mud', 'bereitschaft', 'weit', 'massnahm', 'kampf', 'konjunkturflaut', 'niedrig', 'inflation', 'bekraft']",817537
3479,Die EZB strebt hingegen eine Inflationsrate von knapp zwei Prozent an.,"['ezb', 'strebt', 'hingeg', 'inflationsrat', 'knapp', 'zwei', 'prozent']",817544
3480,"Es wird erwartet, dass sich die Teuerung im Währungsraum weiter vom Zielwert der EZB entfernt und damit die Notenbank unter Druck setzt.","['erwartet', 'teuer', 'wahrungsraum', 'zielwert', 'ezb', 'entfernt', 'notenbank', 'druck', 'setzt']",817583
3481,"Es wird erwartet, dass sich die Teuerung im Währungsraum weiter vom Zielwert der EZB entfernt und damit die Notenbank unter Druck setzt./jkr/das","['erwartet', 'teuer', 'wahrungsraum', 'zielwert', 'ezb', 'entfernt', 'notenbank', 'druck', 'setztjkrdas']",817586
3482,"Volkswirte rechnen mit einem weiteren Rückgang der Teuerung und damit mit mehr Druck auf die Europäische Zentralbank (EZB), die Geldschleusen noch weiter zu öffnen, erklärten Händler den schwachen Euro.","['volkswirt', 'rechn', 'weit', 'ruckgang', 'teuer', 'mehr', 'druck', 'europa', 'zentralbank', 'ezb', 'geldschleus', 'offn', 'erklart', 'handl', 'schwach', 'euro']",817595
3483,Nach einer schwachen Inflation in Deutschland und einem überraschend starken Preisrückgang in Spanien dürften sich auch die Preisdaten aus der Eurozone insgesamt weiter vom Inflationsziel der EZB entfernen.,"['schwach', 'inflation', 'deutschland', 'uberrasch', 'stark', 'preisruckgang', 'spani', 'durft', 'preisdat', 'eurozon', 'insgesamt', 'inflationsziel', 'ezb', 'entfern']",817595
3484,"Es wird erwartet, dass sich die Teuerung im Währungsraum weiter vom Zielwert der EZB entfernt und damit die Notenbank unter Druck setzt./jkr/stb","['erwartet', 'teuer', 'wahrungsraum', 'zielwert', 'ezb', 'entfernt', 'notenbank', 'druck', 'setztjkrstb']",817596
3485,Die schwache Inflation bereitet der Europäischen Zentralbank (EZB) seit langem Kopfzerbrechen.,"['schwach', 'inflation', 'bereitet', 'europa', 'zentralbank', 'ezb', 'seit', 'lang', 'kopfzerbrech']",817627
3486,"Um gegen die schwache Teuerung und das geringe Wachstum im Euroraum vorzugehen, hat die EZB ihre Geldpolitik bereits stark gelockert.","['schwach', 'teuer', 'gering', 'wachstum', 'euroraum', 'vorzugeh', 'ezb', 'geldpolit', 'bereit', 'stark', 'gelockert']",817627
3487,"""Mehrfach hatten EZB-Vertreter auf die Handlungsbereitschaft der Europäischen Zentralbank (EZB) verwiesen, gegen eine zu lange Phase zu geringer Inflation vorgehen zu wollen.""","['mehrfach', 'ezbvertret', 'handlungsbereitschaft', 'europa', 'zentralbank', 'ezb', 'verwies', 'lang', 'phas', 'gering', 'inflation', 'vorgeh']",817646
